Uid	Len	ab|cd	ac|bd	ad|bc
685	0.0076486332	44406	16586	23716
673	0.0312282121	34176	0	0
519	0.0127570361	381	0	0
764	0.0093345949	11028	2268	2896
626	0.0036089049	490	0	270
453	0.0924104615	2992	0	0
695	0.0011566823	19551	395	36854
672	0.1073206885	377	4	0
653	0.0129733815	78829	11	0
625	0.0055460222	11747	88	37
683	0.005424185	124720	2	32778
513	0.0036624792	17229	606	565
602	0.0063714456	9508	5	931
589	0.0427831069	1137	0	0
566	0.0097877272	1885	0	0
716	0.0342414392	15818	10806	88
424	0.0587121562	2625	0	0
500	0.001292588	422	330	8
491	0.0028635263	2713	21	1026
476	0.048788687	760	0	0
674	0.0312282121	32752	0	0
562	0.0295501696	337	0	44
538	0.001170063	722	38	0
466	0.0097969838	1134	0	3
750	0.0007498384	38394	6882	32472
577	0.0108933143	7480	0	0
541	0.0648705029	2235	31	2
